City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,brae,60.3964,-1.353,4.32,62,44,7.37,GB,2022-12-30
300,bathsheba,13.2167,-59.5167,24.34,94,75,10.29,BB,2022-12-30
301,naantali,60.4674,22.0243,4.5,100,100,3.09,FI,2022-12-30
302,banda aceh,5.5577,95.3222,27.23,71,100,6.34,ID,2022-12-30
303,dharchula,29.85,80.5333,15.13,42,26,1.35,IN,2022-12-30
304,santa cruz de tenerife,28.4682,-16.2546,22.4,80,20,2.57,ES,2022-12-30
305,zhuanghe,39.7008,122.9911,-3.11,54,0,0.65,CN,2022-12-30
306,ahipara,-35.1667,173.1667,22.52,64,1,4.63,NZ,2022-12-30
307,portland,45.5234,-122.6762,10.16,94,100,7.2,US,2022-12-30
308,port blair,11.6667,92.75,28.02,69,40,4.63,IN,2022-12-30
309,evensk,61.95,159.2333,-23.01,76,88,4.59,RU,2022-12-30
310,itaituba,-4.2761,-55.9836,22.33,99,99,0.39,BR,2022-12-30
311,maiduguri,11.8464,13.1603,14.16,48,3,3.2,NG,2022-12-30
312,talcahuano,-36.7167,-73.1167,15.82,67,0,4.63,CL,2022-12-30
313,tautira,-17.7333,-149.15,27.24,75,19,6.33,PF,2022-12-30
314,havre-saint-pierre,50.2334,-63.5986,-6.0,77,100,2.42,CA,2022-12-30
315,sandusky,41.3501,-83.1332,11.92,79,100,3.13,US,2022-12-30
316,acapulco,16.8634,-99.8901,25.9,78,100,0.0,MX,2022-12-30
317,juegang,32.3174,121.1855,8.88,42,98,2.59,CN,2022-12-30
318,ostersund,63.1792,14.6357,1.25,100,20,3.09,SE,2022-12-30
319,sao filipe,14.8961,-24.4956,21.85,65,27,3.31,CV,2022-12-30
320,gornyak,50.9942,81.4661,-7.56,96,100,1.78,RU,2022-12-30
321,constantine,36.365,6.6147,1.67,86,0,1.54,DZ,2022-12-30
322,prince rupert,54.3161,-130.3201,5.83,82,100,9.77,CA,2022-12-30
323,kuantan,3.8077,103.326,29.06,65,20,2.57,MY,2022-12-30
324,fort nelson,58.8053,-122.7002,-22.23,77,100,1.03,CA,2022-12-30
325,panormos,35.4182,24.6909,12.03,73,6,0.61,GR,2022-12-30
326,ketchikan,55.3422,-131.6461,1.39,98,100,2.5,US,2022-12-30
327,ituporanga,-27.4144,-49.6025,16.13,96,13,0.63,BR,2022-12-30
328,shima,24.4478,117.8111,19.01,55,1,1.45,CN,2022-12-30
329,yarkovo,57.4028,67.0786,-28.06,100,95,0.9,RU,2022-12-30
330,kendari,-3.945,122.4989,30.51,64,99,1.64,ID,2022-12-30
331,te anau,-45.4167,167.7167,20.05,35,13,1.45,NZ,2022-12-30
332,katsuura,35.1333,140.3,9.68,43,93,2.12,JP,2022-12-30
333,mahebourg,-20.4081,57.7,27.92,73,40,1.03,MU,2022-12-30
334,pasighat,28.0667,95.3333,19.97,38,0,0.79,IN,2022-12-30
335,xai-xai,-25.0519,33.6442,23.71,79,98,2.78,MZ,2022-12-30
336,camacha,33.0833,-16.3333,16.68,82,20,4.12,PT,2022-12-30
337,eyl,7.9803,49.8164,23.98,71,10,7.71,SO,2022-12-30
338,siparia,10.1333,-61.5,23.79,91,4,3.48,TT,2022-12-30
339,birao,10.2849,22.7882,17.14,27,0,3.83,CF,2022-12-30
340,bowen,-20.0167,148.2333,27.64,60,83,5.78,AU,2022-12-30
341,sayat,38.7839,63.8803,-2.07,64,17,3.57,TM,2022-12-30
342,ocampo,21.65,-101.5,7.77,45,1,3.12,MX,2022-12-30
343,bobo dioulasso,11.1771,-4.2979,21.25,26,80,3.6,BF,2022-12-30
344,saskylakh,71.9167,114.0833,-18.42,88,100,10.22,RU,2022-12-30
345,sterling,39.0062,-77.4286,7.38,75,0,1.54,US,2022-12-30
346,borogontsy,62.6683,131.1683,-26.37,97,100,1.65,RU,2022-12-30
